Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.048109065,0.335380244,52500,H,-0.106657281,9.431405053
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.053937036,0.327889017,52500,H,-0.290826685,8.598914492
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.059158632,0.3581111,52500,H,-0.112081543,8.6533793
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.05893238,0.326676254,52500,H,-0.489216662,6.425098151
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.061101066,0.316948785,52500,H,-0.604653925,6.526250208
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.041826867,0.337752448,52500,H,-0.211369895,6.055655193
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.044956249,0.27551289,52500,H,-0.112012427,5.395413575
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.058058582,0.345769519,52500,H,-0.289637552,10.2039657
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.062361579,0.341755088,52500,H,-0.258668724,6.787409451
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.050879124,0.314872187,52500,H,-0.140737697,5.545296426
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.058758612,0.337489327,52500,H,-0.492646007,9.859688928
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.04359474,0.318690077,52500,H,-0.260007292,7.683128555
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.049846949,0.355313828,52500,H,-0.087571312,6.225361733
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.054654047,0.307530181,52500,H,0.037935928,5.574958875
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.057560391,0.344872397,52500,H,-0.279146488,5.839747146
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.056919748,0.350214932,52500,H,-0.301956072,5.752003789
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.038187774,0.317306481,52500,H,0.032257637,9.958389344
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.051151452,0.329354268,52500,H,-0.210143175,6.038869159
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.057911932,0.348878085,52500,H,-0.358521273,6.656275485
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,1,0.058980956,0.360647331,52500,H,-0.163461269,8.369439079
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,2,0.095025586,0.497012598,52500,H,-0.082632528,9.434678779
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,2,0.100531505,0.477341995,52500,H,-0.270062386,8.604584578
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,2,0.116012566,0.552493519,52500,H,-0.08906758,8.656544947
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,2,0.11599102,0.491712677,52500,H,-0.470197355,6.419977538
