ID,Year,Time,VCL,VAP,VSL,LIN,WOB,PROG,BCF,MOT,N,natalyr,f.corr,Mass,Tarsus
1,2012,0,100.3876,46.64983,41.95663,0.8993951,0.464697,37.307503,17.790697,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,115.6045,65.65845,54.24094,0.8261076,0.5679578,33.63528,17.093023,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,118.6865,49.02349,31.40859,0.6406845,0.4130502,33.84612,17.647058,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,111.7954,60.85652,53.88915,0.8855116,0.5443562,40.13407,15.176471,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,157.7768,94.57114,88.73312,0.9382685,0.5993983,36.337326,14.302325,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,77.82127,27.51359,19.96051,0.7254784,0.3535485,0.72547835,4.285714,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,96.39487,32.89254,16.80983,0.5110531,0.3412271,15.021907,19.148935,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,162.1153,113.3248,88.52976,0.7812039,0.6990384,1.5621928,3.3333333,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,73.25446,39.31,37.71583,0.9594462,0.5366226,38.624813,14.302325,0.1923077,52,2008,0.1685421,25,23.2
1,2012,0,105.6615,55.52108,33.87528,0.6101336,0.5254619,25.735842,17.093023,0.1923077,52,2008,0.1685421,25,23.2
2,2012,0,73.71139,37.64725,35.44677,0.9415501,0.5107386,10.282396,14.4827585,0.137931,29,2008,0.08467654,24,22.6
2,2012,0,145.6614,88.9485,69.28636,0.7789491,0.6106525,2.008772,9,0.137931,29,2008,0.08467654,24,22.6
2,2012,0,133.1281,100.0016,89.77671,0.8977524,0.7511684,4.7727065,9.473684,0.137931,29,2008,0.08467654,24,22.6
2,2012,0,94.41174,64.45222,57.99807,0.8998616,0.6826716,1.8881159,15,0.137931,29,2008,0.08467654,24,22.6
3,2012,0,428.7615,84.22283,54.8244,0.6509447,0.1964328,1.2517198,3.75,0.06666667,30,2007,0.115996,24.5,23.4
3,2012,0,378.2156,53.9217,26.98258,0.500403,0.1425687,1.7685528,9.230769,0.06666667,30,2007,0.115996,24.5,23.4
4,2012,0,209.695,109.8038,49.12911,0.4474265,0.5236355,22.70286,16.18421,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,139.4331,41.95448,39.39359,0.9389603,0.3008934,1.4496979,10.909091,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,260.9418,100.1295,51.72252,0.5165561,0.3837237,11.262076,16.153847,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,40.09383,12.95069,9.102384,0.7028491,0.3230097,3.3116548,12.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,66.29294,35.61241,15.9497,0.4478692,0.5371975,9.156819,17.857143,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,105.0978,78.42557,69.33809,0.884126,0.746215,17.881052,18.157894,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,312.6,129.9187,63.87208,0.491631,0.415607,7.1114388,14.444445,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,348.5851,128.395,74.87131,0.5831326,0.3683319,3.418963,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,119.7808,61.66487,39.35644,0.6382312,0.5148144,12.621428,12.413794,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,204.1945,172.9045,115.4837,0.6679048,0.8467637,5.478926,8.823529,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,156.6477,90.48891,44.09091,0.4872521,0.5776587,7.447276,13.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,161.3822,99.62885,43.27453,0.4343574,0.6173472,9.503956,14.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,78.76136,22.38622,5.417433,0.2419986,0.2842284,0.73966837,11.538462,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,114.1525,151.1276,77.64701,0.5137844,1.32391,0.51378435,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,89.79007,19.46086,12.57783,0.6463141,0.2167373,4.540115,14,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,188.7946,37.19955,18.36016,0.4935586,0.1970371,0.96555454,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,358.6162,214.8708,153.5183,0.7144682,0.5991666,5.728948,8.823529,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,115.7093,23.98806,16.10765,0.6714861,0.2073132,2.8796787,13.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,106.0112,97.87727,85.54685,0.8740215,0.9232727,3.2197032,10.714286,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,134.0093,95.62935,61.86301,0.646904,0.7136024,1.4474772,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,185.538,169.2959,149.7084,0.8843,0.9124594,3.138066,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,120.7735,71.45561,48.96653,0.685272,0.5916498,24.252892,14.5161295,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,102.5617,49.36197,31.58392,0.6398431,0.4812905,0.6398431,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,66.45964,51.37678,25.13875,0.4893019,0.7730523,24.839115,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,135.1206,66.84857,49.34387,0.738144,0.4947326,6.366542,16.875,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,49.77409,34.63487,14.60587,0.42171,0.6958414,16.773327,18.49315,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,85.84233,61.06893,22.7288,0.3721828,0.711408,12.088782,15.697675,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,122.8343,30.77639,17.86125,0.5803559,0.2505521,4.4519405,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,37.93543,31.92116,28.8987,0.9053147,0.8414604,1.5316621,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,235.4473,122.6482,69.14293,0.56375,0.5209158,0.872071,3.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,320.979,164.9677,122.4157,0.7420584,0.5139518,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,62.18258,37.94364,18.72383,0.4934643,0.6101971,31.304781,18.928572,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,155.0738,61.05603,24.35614,0.3989145,0.3937223,6.0667934,13.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,99.12578,127.6825,120.0773,0.9404364,1.288086,2.398316,6,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,78.02423,53.35542,39.83025,0.7465081,0.6838314,11.267243,16.04651,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,109.4809,67.40338,46.8882,0.6956359,0.6156636,3.5399148,9.130435,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,304.1166,83.53771,36.61344,0.4382865,0.2746897,8.26622,16.923077,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,467.0208,161.7158,114.7598,0.7096387,0.3462712,3.6433861,11.538462,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,268.7484,213.3287,121.037,0.5673731,0.7937859,0.5673731,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,277.4097,238.1198,174.3355,0.7321335,0.8583686,1.0910764,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,257.1119,100.3125,29.38095,0.2928943,0.390151,0.7306067,3.3333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,288.6293,203.4797,254.3144,1.249827,0.7049863,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,251.3312,137.647,71.98436,0.5229634,0.5476718,14.711738,11.18644,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,349.1561,114.6573,76.52638,0.6674355,0.3283842,2.5111868,10.909091,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,37.92696,41.48784,32.92977,0.7937208,1.093888,2.6262386,8.181818,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,105.2664,19.49688,8.925555,0.4577939,0.1852147,0.45779392,5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,381.7714,182.2043,122.2954,0.6711991,0.4772602,1.5383103,3.3333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,232.7737,113.3004,36.32572,0.3206142,0.4867406,13.732425,16.056337,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,150.9907,26.47101,3.417567,0.129106,0.1753155,0.35945997,12.857142,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,169.4291,255.1516,169.3493,0.6637203,1.505948,0.9931514,3.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,83.7669,15.07849,11.94378,0.7921073,0.1800053,5.606381,16.666666,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,119.2631,77.9342,22.88311,0.2936209,0.6534646,5.8584156,15.882353,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,79.76715,64.87404,61.30927,0.945051,0.8132926,0.945051,5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,344.0813,86.04417,391.7279,4.552637,0.2500693,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,97.96515,71.42529,52.98669,0.7418478,0.7290887,3.7147307,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,340.7023,186.288,138.5048,0.7434981,0.5467766,12.325989,16.285715,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,116.7553,62.20302,40.72527,0.6547152,0.5327642,2.2026734,6,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,376.1572,108.9929,63.06313,0.5785983,0.2897537,6.0576544,16.25,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,98.97633,41.59187,27.66027,0.6650402,0.4202204,8.961199,14.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,133.0824,127.9025,71.39977,0.558236,0.961077,4.344697,9.375,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,228.8517,116.9192,77.35616,0.6616207,0.5108951,4.1153407,8.571428,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,215.6414,170.0461,130.7702,0.769028,0.7885594,1.6069394,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,323.6671,169.63,101.9812,0.6011981,0.5240876,5.830389,12.413794,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,73.67164,19.19141,14.24085,0.7420434,0.2604992,1.5433431,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,25.96206,16.52878,391.9565,23.71357,0.6366515,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,112.5429,83.13741,40.26906,0.4843675,0.7387174,11.636532,11.086957,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,162.5959,110.7171,68.32568,0.6171193,0.6809344,16.32788,14.666667,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,209.7027,151.8539,142.561,0.9388034,0.7241393,7.510301,16.153847,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,227.4617,174.2843,98.43115,0.5647736,0.7662138,5.9753594,15.714286,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,176.7434,195.4217,100.1944,0.5127085,1.10568,0.51270854,5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,193.4392,116.829,53.62388,0.4589945,0.6039572,26.16298,16.04651,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,133.8393,139.6746,99.81557,0.7146293,1.043599,1.5635448,3.3333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,182.8061,96.59409,58.7948,0.6086791,0.5283965,12.185256,11,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,251.9443,115.1295,86.24943,0.7491517,0.4569638,2.7758217,12,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,159.5209,70.94351,54.38631,0.7666143,0.4447287,8.484064,17.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,323.7038,115.6712,60.18832,0.5203399,0.3573365,1.0492622,11.538462,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,195.2408,99.09176,77.7796,0.784925,0.5075362,7.8059244,12.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,181.7452,105.336,97.35201,0.9242049,0.5795803,1.8793836,6.6666665,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,275.699,155.415,68.47428,0.4405898,0.5637129,4.8667765,12.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,192.1774,109.9089,65.79171,0.5986025,0.5719137,7.5707393,14.444445,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,155.9623,117.7022,23.83296,0.2024853,0.7546835,11.503432,13.604651,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,111.8434,65.96058,37.79581,0.5730061,0.5897583,2.2224422,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,82.18357,57.75566,31.4469,0.5444817,0.702764,25.913074,16.235294,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,275.2794,259.5061,209.4368,0.8070591,0.9427006,2.2229357,3,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,295.0918,106.1032,82.90968,0.7814058,0.35956,1.9812096,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,435.1734,167.3151,131.5821,0.7864326,0.3844792,5.0314255,13.125,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,61.70578,50.82185,63.85818,1.25651,0.8236158,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,205.4807,122.7831,91.40074,0.744408,0.5975411,4.2768536,17.647058,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,97.13154,64.05787,37.30958,0.5824355,0.6594961,3.9487734,16.551723,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,24.89237,14.5109,9.788073,0.6745325,0.5829455,7.3463078,20.963856,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,280.3358,160.5201,127.2047,0.7924533,0.5725993,14.682619,16.285715,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,205.8117,96.54362,34.00111,0.3521839,0.469087,5.0188193,11.785714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,78.112,72.57618,64.25978,0.8854113,0.9291297,5.4554367,13.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,281.5843,84.1775,48.61231,0.5774977,0.2989424,1.8422934,8.571428,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,111.6087,59.94276,15.64152,0.260941,0.5370795,10.507618,17.093023,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,183.0835,119.9113,69.10535,0.5763037,0.6549542,0.5763037,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,175.6465,101.8494,44.85099,0.4403659,0.5798543,12.117769,14.181818,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,419.0211,114.231,80.49596,0.7046773,0.2726139,0.92861515,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,111.4733,103.1183,81.36548,0.7890497,0.9250494,2.7575881,8.181818,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,204.0444,137.7291,33.38638,0.2424062,0.6749958,8.388022,17.826086,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,157.816,69.09761,27.54534,0.3986439,0.4378366,9.195758,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,98.40533,65.3244,37.75912,0.5780246,0.66383,22.369797,15.529411,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,242.8544,24.17041,8.798195,0.3640068,0.09952635,0.67171496,7.5,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,157.4773,67.8289,26.62344,0.3925088,0.4307217,1.040204,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,208.0537,137.2394,80.12089,0.583804,0.6596344,22.526243,15.714286,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,260.8682,145.2546,58.52829,0.4029359,0.5568123,0,0,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,198.5651,48.57814,28.15959,0.5796762,0.2446458,5.015322,13.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,18.90145,16.80264,16.18549,0.9632702,0.8889605,4.1062374,8.333333,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,140.7184,80.67626,18.27411,0.2265116,0.5733172,5.664945,16.90909,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,176.8416,85.0352,37.88911,0.4455697,0.4808552,10.9825115,14.042553,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,229.6854,208.753,109.8536,0.5262372,0.9088649,0.5262372,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,76.05271,82.91555,41.78049,0.5038921,1.090238,0.5038921,4.285714,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,123.031,80.18982,16.50448,0.2058177,0.6517855,7.040761,16.744186,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,232.3222,116.2088,68.84785,0.5924495,0.5002053,1.8231444,12,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,298.1563,100.2734,34.56266,0.3446843,0.3363114,0.57862824,3.75,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,112.7343,82.41472,14.09956,0.1710806,0.7310529,10.498562,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,289.1766,98.16654,33.12815,0.3374689,0.3394693,1.245127,8.181818,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,88.00762,59.89123,22.67634,0.3786254,0.6805233,18.93282,16.235294,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,123.3126,52.61865,36.97172,0.7026354,0.4267094,18.56218,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,342.4431,115.8165,67.55329,0.5832787,0.3382066,1.3887136,9,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,303.3112,122.4478,98.20927,0.8020502,0.4037035,2.517578,13.846154,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,99.06136,43.4534,17.29834,0.3980894,0.4386513,23.193079,18.488373,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,67.91106,45.59299,28.31646,0.6210706,0.6713632,23.352018,16.588236,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,201.2295,142.1931,116.1718,0.8170002,0.7066215,14.9068575,13.714286,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,78.9607,60.82957,35.50403,0.5836641,0.7703778,32.62948,15.882353,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,263.019,50.77262,46.23661,0.9106604,0.1930379,1.8261427,10,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,91.36289,40.17192,29.12639,0.7250434,0.4396963,13.64031,15,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,94.11615,31.1057,10.67623,0.3432243,0.3305034,2.5535808,8,0.6126316,950,2011,0.1142415,25,23.3
4,2012,0,91.70959,60.99227,29.49219,0.4835398,0.6650588,15.602671,15.925926,0.6126316,950,2011,0.1142415,25,23.3
