Year,Oystercatcher,Turnstone,Curlew,BartailedGodwit,Redshank,Knot,Dunlin,wheat,rape,barley,oats,cattle,sheep,pigs,nitrate
1969,229.5,52,13.5,1.75,394.25,7,285,1429,0,12.9,2.75,NA,NA,50.7,3.5
1970,207,29.25,10.25,4,264.5,4.75,271.75,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,1421,0,13.4,2.31,51.7,47,49.4,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,353.25,15.25,13,16.75,318.25,9,304.5,1071,0,NA,NA,49.6,NA,61.5,NA
1974,328,20.75,53.75,22.25,537.5,10.25,260.5,NA,NA,15,1.15,NA,NA,NA,4.3
1975,358.5,33.5,93,37,635.5,11.5,532.25,786,0,15.8,0.72,NA,38.5,46.6,5.1
1976,344.33,63.67,48.67,50,450.33,27,878.67,NA,NA,NA,NA,NA,NA,NA,NA
1977,555.25,73.75,84.25,30.25,817.25,97.5,1137.75,714,0,16.1,0.55,57.7,30,51.4,6.5
1978,418.25,58.75,90,52.25,616,43,870.75,NA,NA,NA,NA,NA,NA,NA,6
1979,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,64,NA,NA,6
1980,406.75,40.25,165.25,44.75,577,30.5,465.25,NA,NA,NA,NA,NA,NA,NA,6.1
1981,430.25,59.25,189.5,67.75,760,26,692.25,1071,0,17.4,0.44,53.5,34.9,48.6,5.1
1982,469,55.33,57.67,38.67,432.33,6.33,229.33,NA,NA,NA,NA,NA,NA,NA,5
1983,NA,NA,NA,NA,NA,NA,NA,1986,45,16.1,0.28,53.1,35.5,48.6,5.2
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8
1985,NA,NA,NA,NA,NA,NA,NA,3643,1500,16.3,0.39,50.3,37.3,47.8,6
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9
1987,NA,NA,NA,NA,NA,NA,NA,4679,3523,14,0.44,42.6,43.4,62.3,NA
1988,230.33,42.33,76.67,9,310.33,22.33,162.33,NA,NA,NA,NA,NA,NA,NA,NA
1989,271.75,127.5,375,36.25,379.25,13,346.25,4482,2500,14.5,0.72,40.5,44.9,70.3,NA
1990,301.75,87.75,120.5,48.75,376,NA,252.25,NA,NA,NA,NA,NA,NA,NA,NA
1991,313.75,74.75,116.5,29.5,296.75,98,251.5,6429,4318,12.5,0.88,38.5,49.7,80.4,NA
1992,221.75,54,204.5,25.75,242.75,32,337.25,NA,NA,NA,NA,NA,NA,NA,NA
1993,282.25,60.25,195.75,21.75,323.5,54.25,466.25,NA,NA,NA,NA,NA,NA,NA,NA
1994,222,64.5,142.25,15.75,318.25,65.5,300,NA,NA,NA,NA,NA,NA,NA,NA
1995,225.75,67.75,155.75,23.5,242,NA,297,NA,NA,NA,NA,NA,NA,NA,NA
