Family,Genus,Species,C.Name,Social.Class,Natal.Den,Hibernaculum,Predation,Food.Storage,Residence,FP,Primary,Secondary,Occupant,BC,Length,Height,Mass.F,Mass.M,Mass.A,ML,Eyes,Lac,Ind,ImpDel,Gestation,Litter,Mat,Long,HR,Pred,GS,Lat,Diet
Canidae,Canis,lupus,Grey Wolf,4,0.5,0,0,0,0,0.5,1,1,0,2.5,1450,,36.5,50,43.3,0.5,13,35,,0,63,6,24,120,35,,8,83.15,Carnivorous
Canidae,Canis,latrans,Coyote,4,1,0,0,0,0,1,1,0,1,2,810,,13.6,16.8,15.2,0.4,14,42,252,0,63,6,12,96,41.9,2,6,71.33,Carnivorous
Canidae,Canis,adustus,Side-Striped Jackal,4,1,0,0,0,0,1,1,0,0,3,,,10.6,,11.3,,,,,0,63.3,4.3,,127,13,,,16.68,Omnivorous
Canidae,Canis,mesomelas,Black-Backed Jackal,4,1,0,0,0,0,1,1,0,1,2,717,,7.7,8.4,8.1,0.3,9,63,,0,63,6,11,96,10.6,1,8,18.52,Omnivorous
Canidae,Canis,simensis,Ethiopian Wolf,4,1,0,0,0,0,1,1,0,0,3,941,,16.2,12.8,14.5,0.4,,70,,0,61,6,24,,6,0,6,13.35,Carnivorous
Canidae,Canis,aureus,Golden Jackal,3,1,0,0,0,0,1,1,0,1,2,1000,,,,9.5,0.3,10,70,,,,6,,,,,,46.9,Omnivorous
Canidae,Lycaon,pictus,African Wild Dog,4,1,0,0,0,0,1,,,,,1080,,22.2,,22,0.4,,77,,0,70.5,8.8,40,132,,,20,17.35,Carnivorous
Canidae,Cuon,alpinus,Dhole,4,1,0,0,0,0,1,,,,,1000,,11.5,17.5,14.5,0.4,,,,0,61.5,5,,,,,9,55.37,Carnivorous
Canidae,Vulpes,lagopus,Arctic fox,,1,1,0,1,0,3,1,0,0,3,530,,3,3.2,3.1,0.2,15,46,91,0,52,6,9.5,37,,9,,83.6,Carnivorous
Canidae,Vulpes,vulpes,Red fox,2,1,0.5,0,1,0.5,3,1,0,1,2,1046,,5.5,6.3,5.9,0.3,21,35,,0,52,6,10,60,4.6,6,,74.05,Carnivorous
Canidae,Vulpes,bengalensis,Bengal fox,2,1,0.5,0,0,1,2.5,1,0,0,3,486,,,3.2,,,,25,,0,51.5,2.7,,72,,3,2,32.53,Omnivorous
Canidae,Vulpes,chama,Cape fox,2,1,0,0,0,1,2,1,1,0,2.5,530,,3.1,3.1,3.1,0.2,,49,,0,52,4,,72,,,2,-13.97,Omnivorous
Canidae,Vulpes,velox,Swift fox,2,1,0,1,0,1,3,1,1,0,2.5,524,,2.4,2.3,2.4,0.1,13,46,,0,50,4.5,,,,3,2,45.06,Omnivorous
Canidae,Vulpes,macrotis,Kit fox,,1,0,0,0,0,1,1,1,0,2.5,498,,1.9,2.2,2.1,0.1,,,,0,,4.5,,,,,,44.15,Carnivorous
Canidae,Vulpes,corsac,Corsac Fox,2,1,1,1,0,0.5,3.5,0,1,0,2,513,,2.3,2.4,2.4,0.1,15,,,0,56,5.5,10,108,11.4,8,2,56.8,Carnivorous
Canidae,Vulpes,ferrilata,Tibetan sand fox,,1,0,0,0,1,2,1,0,0,3,665,,,,4.8,0.2,,,,0,55,3.5,,,,,,38.53,Carnivorous
Canidae,Vulpes,cana,Blandford's fox,2,0.5,0,0,0,0,0.5,0,0,1,1,740,,1.1,1.2,1.2,0,,38,,0,55,2.5,11,,1.6,,2,39.07,Omnivorous
Canidae,Vulpes,rueppelli,Ruppell's fox,2,1,0,0,0,1,2,1,0,0,3,702,,,,1.7,0.1,,49,112,0,53,3.3,,84,16.3,3,2,36.69,Omnivorous
Canidae,Vulpes,zerda,Fennec fox,3,1,0,1,1,1,4,1,0,0,3,583,,1,1.2,1.1,0,10,66,,0,50.5,3.5,10,,,3,2,34.14,Insectivorous
Canidae,Urocyon,cinereoargenteus,Gray fox,2,0.5,0,0,0,0.5,1,0,0,1,1,963,,,,5,0.2,,,,0,58,3.8,10,,1.4,2,2,49.63,Omnivorous
Canidae,Urocyon,littoralis,Island fox,,0.5,0,0,0,0,0.5,1,0,0,3,755,,1.9,2,2,0.1,,,,0,51.5,2.2,,60,0.4,,,34.08,Omnivorous
Canidae,Otocyon,megalotis,Bat-eared fox,4,1,0.5,0.5,0,0,2,0,1,0,2,560,,,,4.2,0.2,,101,,0,65,3.5,8.5,,1.9,7,2,9.51,Insectivorous
Canidae,Pseudalopex,culpaeus,Culpeo,,,,,,,,,,,,739,,7.8,11.7,10.2,0.4,,56,,0,57.5,,12,,,,2,1.58,Carnivorous
Canidae,Pseudalopex,gymnocercus,Pampas fox,1,0.5,0,0,0,0.5,1,0,0,1,1,648,,4.2,4.6,4.4,0.2,,56,,0,57.5,3.35,10,,0.3,2,2,-12.77,Carnivorous
Canidae,Pseudalopex,sechurae,Sechura fox,1,1,0,0,0,1,2,1,0,0,3,652,288,,3.6,,,,,,,,,,,,,,-3.45,Omnivorous
Canidae,Pseudalopex,vetulus,Hoary fox,,1,0,0,0,0,1,0,0,1,1,648,351,,,3.5,0.2,,112,,0,50,3,,,4.6,,,-4.86,Omnivorous
